First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Bonnie,Female,11-13-1988,3:30 PM,115814,4.99,FALSE,Product
Gerald,,3-17-1995,12:50 AM,137126,15.602,TRUE,Sales
Christopher,Male,3-30-2008,10:52 AM,47369,14.822,FALSE,Legal
Steven,Male,3-30-1980,9:20 PM,35095,8.379,TRUE,Client Services
Shawn,Male,9-23-2005,2:55 AM,148115,6.539,TRUE,Finance
Doris,Female,8-20-2004,5:51 AM,83072,7.511,FALSE,Finance
Jeremy,Male,02-01-2008,8:50 AM,100238,3.887,TRUE,Client Services
Annie,,9-29-2007,12:11 AM,103495,17.29,TRUE,Business Development
Annie,Female,1-30-1993,2:05 AM,144887,8.276,TRUE,Sales
Donna,Female,11-27-1991,1:59 PM,64088,6.155,TRUE,Legal
Janice,Female,03-12-2016,12:40 AM,51082,11.955,FALSE,Legal
Janice,,8-21-1997,5:12 AM,91719,11.583,TRUE,Legal
James,,1-26-2005,11:00 PM,128771,8.309,FALSE,
Linda,Female,5-25-2000,5:45 PM,119009,12.506,TRUE,Business Development
Virginia,,05-07-1994,5:58 PM,111858,1.601,TRUE,Legal
Harry,Male,8-26-1981,3:16 PM,130620,7.03,FALSE,Legal
Heather,Female,07-11-1998,2:17 PM,43026,14.166,FALSE,Client Services
Cynthia,Female,3-21-1994,8:34 AM,142321,1.737,FALSE,Finance
Laura,,7-19-2014,9:23 PM,140371,10.62,TRUE,Marketing
Tina,Female,6-16-2016,7:47 PM,100705,16.961,TRUE,Marketing
Harold,Male,01-02-1985,9:40 PM,77544,12.447,FALSE,Business Development
Melissa,Female,6-21-2005,6:33 AM,48109,14.995,FALSE,Finance
Aaron,Male,2-17-2012,10:20 AM,61602,11.849,TRUE,Marketing
Jack,Male,01-12-1997,5:51 AM,103902,12.159,FALSE,Client Services
Phyllis,Female,10-11-1996,9:30 PM,136984,8.932,TRUE,Finance
John,Male,12-23-1989,7:01 AM,80740,19.305,FALSE,Marketing
Kathy,Female,03-09-1996,4:33 AM,91712,8.567,FALSE,Finance
Paul,Male,08-04-1993,7:25 PM,42146,3.046,FALSE,Legal
Steven,Male,4-23-2013,10:12 PM,68680,16.565,FALSE,Legal
Russell,,05-05-1988,7:57 AM,133980,12.396,TRUE,Legal
Christopher,Male,4-22-2000,10:15 AM,37919,11.449,FALSE,
Shirley,Female,6-20-2001,10:39 PM,147113,16.135,FALSE,Legal
Bonnie,Female,12-17-1999,3:12 PM,42153,8.454,TRUE,Business Development
Willie,Male,11-27-2003,6:21 AM,64363,4.023,FALSE,Marketing
Tina,Female,06-12-2009,7:16 AM,114767,3.711,TRUE,Engineering
Ashley,Female,08-04-2002,11:00 AM,58698,6.811,TRUE,Business Development
Pamela,Female,07-01-1982,6:51 AM,54585,4.166,FALSE,Product
,Male,6-22-1991,8:58 PM,76189,18.988,,Legal
Steven,Male,03-01-1995,3:03 PM,109095,9.494,FALSE,Finance
Andrea,Female,01-12-2012,5:43 AM,120204,9.557,FALSE,Business Development
Paul,Male,06-03-2008,3:05 PM,41054,12.299,FALSE,Marketing
Peter,Male,11-17-1994,6:15 PM,84885,15.402,FALSE,Business Development
Kathleen,,05-09-2016,8:55 AM,119735,18.74,FALSE,Product
Christina,Female,4-13-2012,2:04 PM,110169,13.892,TRUE,Engineering
Helen,Female,11-29-2001,2:30 AM,73789,14.841,TRUE,Product
Marilyn,Female,11-16-1983,8:29 AM,76078,2.401,TRUE,Product
Patricia,Female,09-01-2003,6:46 AM,49368,14.226,FALSE,Human Resources
Michelle,Female,3-30-1984,6:43 PM,57325,17.179,TRUE,Human Resources
William,Male,9-29-2002,4:09 PM,66521,5.83,FALSE,Human Resources
Kenneth,Male,8-25-1987,9:16 PM,127654,16.439,TRUE,Client Services
Antonio,Male,10-25-1988,1:50 PM,60866,13.101,TRUE,Business Development
Shirley,Female,05-01-1984,1:15 PM,41334,6.219,TRUE,Human Resources
Rebecca,Female,07-10-1992,12:23 AM,94231,17.517,FALSE,Product
Carlos,Male,01-04-1995,7:02 AM,146670,10.763,FALSE,Human Resources
Lois,Female,12-25-1987,4:16 PM,106317,2.235,TRUE,Client Services
Carolyn,Female,04-09-2011,5:38 AM,109260,2.65,TRUE,Business Development
Gloria,Female,6-29-2007,5:34 AM,134148,8.833,TRUE,Legal
Henry,Male,4-24-1995,4:18 AM,43542,19.687,FALSE,Legal
Adam,Male,5-21-2011,1:45 AM,95327,15.12,FALSE,Distribution
Ashley,Female,5-25-2006,11:30 AM,112238,6.03,TRUE,Engineering
,Female,10-03-1990,1:08 AM,132373,10.527,,
Shirley,Female,2-28-1981,1:23 PM,113850,1.854,FALSE,Marketing
Adam,Male,12-24-1990,8:57 PM,110194,14.727,TRUE,Product
Elizabeth,Female,10-09-2003,5:53 PM,146129,5.687,FALSE,Finance
Teresa,,1-28-2016,10:55 AM,140013,8.689,TRUE,Engineering
Nicole,,03-05-1982,2:28 PM,122717,12.452,FALSE,Sales
Jennifer,Female,04-04-2009,10:47 PM,71715,13.079,TRUE,Client Services
Patricia,Female,11-25-1992,2:24 AM,95322,4.15,FALSE,Product
Philip,Male,7-17-2008,1:30 PM,89227,3.996,FALSE,Legal
Patrick,,7-14-1991,2:24 AM,124488,14.837,TRUE,Sales
,Female,8-17-2014,2:00 PM,86230,8.578,,Distribution
Sean,Male,05-04-1996,8:59 PM,135490,19.934,FALSE,Marketing
Brandon,,11-03-1997,8:17 PM,121333,15.295,FALSE,Business Development
Ruth,Female,8-19-1999,4:03 AM,129297,8.067,TRUE,Client Services
Victor,,03-10-2011,8:40 PM,84546,10.489,TRUE,Finance
Rebecca,Female,11-15-1980,4:13 AM,85730,5.359,TRUE,Product
Marie,Female,3-16-2003,12:12 AM,104058,17.695,TRUE,Business Development
Howard,Male,4-27-1992,1:10 AM,105062,1.563,FALSE,Human Resources
,Female,7-27-2005,8:32 AM,79536,14.443,,Product
Norma,Female,2-28-1999,8:45 PM,114412,8.756,TRUE,Marketing
James,,11-22-1983,10:52 PM,68501,14.316,FALSE,Marketing
Kathy,Female,3-18-2000,7:26 PM,149563,16.991,TRUE,Finance
Marilyn,,8-22-1999,9:09 AM,103386,11.451,FALSE,Distribution
Arthur,Male,4-13-1998,11:28 AM,89786,14.422,TRUE,Legal
Terry,Male,09-03-1990,9:15 PM,52226,19.135,FALSE,Client Services
Mary,Female,8-13-1999,1:03 AM,134645,18.197,FALSE,Business Development
,Female,3-23-2014,1:28 PM,59148,9.061,,Legal
,Female,07-09-1991,6:52 PM,42341,7.014,,Sales
Christopher,Male,12-24-2011,12:22 PM,142178,17.984,TRUE,Sales
Peter,,09-03-1987,5:59 PM,38989,7.017,TRUE,Marketing
Michelle,Female,11-04-1996,9:34 PM,53754,5.455,TRUE,Product
Irene,Female,1-29-1992,11:36 AM,133772,19.02,TRUE,Sales
Patrick,Male,8-17-2007,3:16 AM,143499,17.495,TRUE,Engineering
Sara,Female,9-23-1991,6:17 PM,97058,9.402,FALSE,Finance
Lillian,Female,12-21-2008,6:51 PM,85446,3.959,TRUE,Engineering
,,9-18-2007,6:59 PM,40297,6.185,,Client Services
Willie,Male,2-17-1998,8:20 PM,146651,1.451,TRUE,Engineering
Victor,Male,01-08-2003,1:02 PM,124486,10.166,FALSE,Product
Wayne,Male,04-07-2012,8:00 AM,102652,14.085,TRUE,Distribution
Jane,Female,09-03-1997,2:01 AM,144474,17.648,FALSE,Product
Jessica,Female,10-23-1995,5:53 AM,68759,19.343,TRUE,Finance
Mark,Male,04-12-2008,5:40 PM,57286,5.025,TRUE,Business Development
Randy,Male,11-14-1999,12:12 PM,58129,1.952,TRUE,Distribution
Lillian,Female,6-19-1999,4:44 PM,123940,12.184,TRUE,Business Development
Ruth,,5-18-1999,5:56 AM,98233,2.518,TRUE,Distribution
Jerry,Male,12-18-2003,6:46 AM,140810,9.177,TRUE,Client Services
Sandra,Female,1-19-1983,7:25 AM,42090,8.842,TRUE,Legal
,Female,2-23-2005,9:50 PM,149654,1.825,,Sales
Roger,Male,11-19-2004,3:55 PM,51430,6.46,FALSE,Marketing
Charles,Male,10-14-2000,9:40 PM,71749,15.931,FALSE,Legal
Clarence,Male,05-02-1998,3:16 AM,85700,1.215,FALSE,Sales
Carol,Female,3-19-1996,3:39 AM,57783,9.129,FALSE,Finance
Lois,Female,10-18-2013,4:51 PM,36946,6.652,FALSE,Engineering
Barbara,,05-03-2003,7:32 PM,99326,16.475,TRUE,Legal
Rebecca,Female,2-18-1995,6:50 AM,109259,4.443,TRUE,Legal
Irene,Female,1-30-2004,8:25 PM,131038,8.996,FALSE,Distribution
Ronald,Male,4-30-2014,2:19 PM,121068,12.757,TRUE,Product
Steven,Male,11-10-1985,10:53 AM,62719,19.127,FALSE,Client Services
Carolyn,Female,11-06-2012,3:51 AM,69268,3.031,FALSE,Client Services
Maria,Female,12-27-1990,9:57 PM,36067,9.64,TRUE,Product
Jonathan,Male,7-17-2009,8:15 AM,130581,16.736,TRUE,
Gary,Male,08-12-1987,12:04 AM,89661,8.525,FALSE,Finance
Kimberly,Female,7-15-1997,5:57 AM,36643,7.953,FALSE,Marketing
Roger,Male,11-08-1982,2:32 AM,140558,5.084,TRUE,Sales
Diana,Female,01-04-2013,7:53 AM,103521,2.784,TRUE,Business Development
Willie,Male,06-06-2006,9:45 AM,55281,4.935,TRUE,Marketing
Brandon,Male,3-27-2006,5:54 PM,115711,8.012,TRUE,Finance
Patricia,Female,12-06-2012,4:01 AM,114079,8.399,TRUE,Client Services
Katherine,Female,11-14-1999,8:15 AM,57531,1.767,FALSE,Client Services
Jonathan,Male,10-12-1987,2:59 AM,141069,4.903,FALSE,Human Resources
Emily,Female,9-20-2007,11:25 AM,89434,11.295,FALSE,Engineering
Ruth,Female,08-12-1986,7:29 PM,44639,9.148,TRUE,Legal
Linda,Female,6-24-2006,12:04 PM,110967,19.612,TRUE,Human Resources
Lisa,Female,11-02-2009,9:42 AM,115387,1.821,FALSE,Client Services
Evelyn,Female,5-24-1980,11:10 PM,81673,15.364,TRUE,Engineering
Julie,Female,7-23-1989,1:52 PM,109588,3.55,FALSE,Engineering
Mary,Female,5-30-2009,11:41 PM,92544,3.8,FALSE,Client Services
Matthew,Male,7-31-2013,8:04 AM,142373,2.462,FALSE,Marketing
Douglas,Male,09-03-1999,4:00 PM,83341,1.015,TRUE,Client Services
Gregory,,6-15-1992,5:08 AM,98865,10.628,TRUE,Finance
Billy,Male,3-13-1995,12:05 PM,120444,7.768,TRUE,Finance
,Female,6-17-1991,12:49 PM,71945,5.56,,Marketing
Gregory,Male,1-29-2000,6:01 AM,109564,3.845,FALSE,Legal
Jason,Male,10-17-1999,10:09 PM,78417,3.067,FALSE,Finance
Daniel,Male,4-30-2010,3:48 AM,106947,15.866,TRUE,Legal
Sarah,Female,9-14-1995,7:50 AM,87298,2.311,FALSE,Distribution
Harry,Male,10-01-2015,7:47 PM,64579,15.266,TRUE,Sales
Kathy,Female,4-19-1995,12:46 AM,50905,9.404,TRUE,Finance
Todd,Male,4-13-1999,10:31 AM,59728,11.226,TRUE,Client Services
Bobby,Male,9-23-1994,1:29 AM,51685,17.445,TRUE,Engineering
Jeremy,Male,06-08-2000,12:15 AM,49542,1.679,TRUE,Distribution
George,,2-24-1988,11:29 AM,38375,8.999,FALSE,Legal
Diane,Female,4-18-1993,3:22 AM,64084,17.018,FALSE,Product
Marilyn,Female,04-04-1997,9:28 PM,147663,10.263,FALSE,Human Resources
Kathryn,Female,02-04-2004,1:47 PM,73935,14.752,FALSE,Sales
Irene,Female,02-04-1982,5:26 PM,40837,12.182,TRUE,Client Services
Norma,Female,02-11-2015,11:44 PM,94393,3.643,TRUE,Engineering
Laura,Female,04-02-2006,1:57 PM,42087,2.624,FALSE,Product
Cheryl,Female,9-23-2008,2:57 AM,52080,9.375,FALSE,Legal
Kevin,Male,3-25-1982,7:31 AM,35061,5.128,FALSE,Legal
Lillian,,05-12-2016,3:43 PM,64164,17.612,FALSE,Human Resources
Phyllis,,4-21-1984,7:05 PM,94088,19.107,FALSE,Distribution
Walter,Male,07-06-1983,11:54 PM,127813,5.961,FALSE,Finance
Robert,Male,10-27-1990,7:15 PM,38041,18.428,TRUE,Engineering
Jimmy,Male,10-07-1986,5:53 PM,126310,5.413,TRUE,Product
Clarence,Male,10-08-1996,12:53 PM,142561,8.866,FALSE,Client Services
Victor,Male,04-11-1991,7:44 AM,70817,17.138,FALSE,Engineering
Fred,,12-02-1984,2:03 PM,59937,12.045,TRUE,Human Resources
Brenda,,7-27-2010,11:07 PM,106115,3.742,TRUE,Product
Justin,Male,12-06-1992,5:58 PM,82782,4.366,TRUE,Distribution
Betty,Female,06-12-2002,3:59 AM,104896,19.55,TRUE,Business Development
Randy,,02-06-1986,3:04 PM,133943,8.94,TRUE,Sales
Sharon,,03-01-1990,3:46 AM,83658,6.513,FALSE,Business Development
Ralph,Male,11-11-2004,1:35 AM,71896,4.232,TRUE,Marketing
,,4-28-2003,3:01 AM,113732,10.391,,Sales
Edward,Male,5-27-1985,10:13 PM,110485,7.995,FALSE,Client Services
Denise,Female,3-20-2009,7:57 AM,115118,5.108,FALSE,Human Resources
Debra,Female,3-13-1998,11:16 PM,48696,4.75,FALSE,Legal
,Male,11-25-1999,6:16 AM,42676,15.517,,Sales
Michael,Male,1-24-2002,3:04 AM,43586,12.659,FALSE,
Henry,Male,02-06-1995,8:34 AM,89258,15.585,TRUE,Human Resources
Gloria,Female,3-27-2007,1:44 AM,90730,2.491,FALSE,Distribution
Marie,Female,08-06-1995,1:58 PM,100308,13.677,FALSE,Product
Anne,Female,7-16-1986,2:08 PM,69134,3.723,TRUE,Engineering
Sarah,,11-21-1985,1:08 PM,58295,14.603,TRUE,Engineering
Stephanie,Female,3-24-1983,11:15 AM,50141,13.218,TRUE,Human Resources
Roy,Male,9-23-2004,1:31 PM,101941,3.45,FALSE,Client Services
,Female,08-05-2009,8:14 AM,115145,14.063,,Distribution
,Male,02-04-2005,1:01 PM,40451,16.044,,Distribution
Irene,Female,03-03-1982,8:26 AM,56526,5.81,TRUE,Finance
,Female,08-02-1992,8:35 PM,145316,18.517,,Human Resources
Thomas,Male,04-06-2011,1:04 PM,103235,9.554,TRUE,Human Resources
Frank,,11-20-2001,10:18 AM,58563,12.062,TRUE,Marketing
Fred,Male,2-20-1980,2:25 AM,74129,18.225,FALSE,Product
Nicholas,Male,04-12-1994,8:21 PM,74669,1.113,TRUE,Product
Howard,Male,10-05-1982,7:22 AM,97490,5.46,TRUE,Marketing
Debra,Female,2-22-1994,10:25 PM,104250,18.456,TRUE,Business Development
Christine,Female,07-03-1989,4:01 AM,94345,11.996,FALSE,Finance
Brenda,,5-29-1991,6:32 AM,82439,19.062,FALSE,Sales
Betty,Female,6-28-2005,6:03 PM,51613,12.984,FALSE,Distribution
Ruby,Female,11-08-2000,7:35 PM,105946,1.139,FALSE,Business Development
Kevin,Male,07-12-1997,2:07 AM,46080,9.635,FALSE,Business Development
Arthur,Male,01-01-2014,7:46 PM,134610,6.147,TRUE,Human Resources
Carl,,02-07-2014,3:57 AM,125104,12.345,FALSE,Client Services
Todd,Male,03-11-2009,3:43 AM,107281,1.612,TRUE,Engineering
Brenda,Female,10-06-2005,9:33 PM,141521,4.337,FALSE,Client Services
Judy,Female,9-16-1997,12:10 AM,65931,2.304,FALSE,Human Resources
Todd,Male,02-02-1984,10:13 AM,69989,10.985,TRUE,Finance
Lois,Female,11-09-2011,7:06 AM,147183,9.999,TRUE,Client Services
Walter,,12-21-1999,10:33 PM,66757,18.099,FALSE,Distribution
Jessica,Female,9-27-1985,1:35 PM,75145,6.388,TRUE,Legal
Jeremy,Male,6-14-1988,6:20 PM,129460,13.657,TRUE,
Tammy,Female,11-11-1984,10:30 AM,132839,17.463,TRUE,Client Services
Anne,Female,03-07-2000,6:45 AM,44537,18.284,TRUE,Client Services
Jesse,Male,10-25-1999,3:35 PM,118733,9.653,FALSE,Marketing
Virginia,Female,10-20-1999,6:23 AM,46905,19.154,FALSE,Distribution
Jesse,Male,03-02-1981,7:26 PM,79582,3.873,FALSE,Legal
Jeremy,,11-10-1996,1:49 PM,55394,3.18,TRUE,Sales
Daniel,Male,9-15-2007,10:16 PM,123811,7.664,TRUE,Human Resources
Patrick,,8-30-2004,11:43 AM,137314,4.542,TRUE,Marketing
Emily,Female,1-13-1988,6:42 AM,36711,19.028,TRUE,Human Resources
Alan,Male,6-26-1988,3:54 AM,111786,3.592,TRUE,Engineering
James,Male,07-11-2015,8:52 PM,72257,13.023,FALSE,Engineering
Adam,Male,07-05-2007,11:59 AM,71276,5.027,TRUE,Human Resources
Joan,,7-25-1980,12:22 PM,38712,3.657,FALSE,Client Services
Jeremy,Male,08-12-1981,12:05 AM,46930,18.702,TRUE,Finance
Margaret,Female,02-06-1993,1:05 PM,125220,3.733,FALSE,Marketing
Mark,Male,04-01-1984,1:21 PM,121477,17.44,TRUE,Business Development
Marilyn,Female,9-26-1981,2:23 AM,86386,2.937,FALSE,Distribution
Cheryl,Female,09-08-2009,10:16 AM,81308,2.196,TRUE,Legal
Benjamin,Male,09-11-1984,6:37 AM,84810,15.794,FALSE,Marketing
Harold,Male,2-20-1990,11:00 PM,66775,2.158,TRUE,Legal
Ernest,,1-18-2002,1:51 AM,72145,13.448,TRUE,Finance
Gerald,Male,4-16-2001,10:09 PM,121604,1.923,TRUE,Sales
Judy,Female,07-01-1991,2:33 AM,109510,13.457,TRUE,Legal
Bobby,Male,3-31-1996,5:40 PM,112117,6.338,FALSE,
Bobby,,09-01-1995,2:09 PM,108127,15.858,FALSE,Client Services
Marie,Female,10-03-2013,8:05 PM,123711,10.966,FALSE,Product
Kathy,Female,12-18-2013,3:09 PM,132381,8.34,FALSE,Business Development
Roy,Male,08-06-2006,7:52 AM,148225,1.841,FALSE,Finance
Jacqueline,Female,11-25-1981,3:01 PM,145988,18.243,FALSE,Marketing
,Female,07-08-2008,11:40 PM,62960,14.356,,Sales
Julie,Female,3-23-1986,9:26 AM,56926,7.507,FALSE,Sales
Douglas,Male,01-08-2002,6:42 PM,41428,14.372,FALSE,Product
Linda,Female,12-16-1990,2:20 AM,115658,3.041,TRUE,Sales
Ruby,Female,12-10-1988,8:27 PM,76707,6.031,FALSE,Business Development
Russell,Male,01-02-2005,1:48 AM,60388,17.885,FALSE,Client Services
Jeffrey,Male,6-18-1997,8:01 PM,45150,12.075,TRUE,Product
Aaron,Male,1-29-1994,6:48 PM,58755,5.097,TRUE,Marketing
Samuel,Male,12-19-1991,2:54 AM,76076,5.319,TRUE,Finance
,Male,1-27-2010,2:57 AM,87760,14.987,,Engineering
Randy,Male,3-16-2014,6:24 PM,135119,7.887,FALSE,Client Services
Evelyn,Female,09-03-1983,1:58 PM,36759,17.269,TRUE,Marketing
Fred,Male,2-13-1987,2:15 PM,121723,18.645,TRUE,Product
Shirley,Female,06-08-1986,2:25 AM,110061,7.494,FALSE,Client Services
Todd,Male,5-23-2011,4:14 PM,85074,1.844,FALSE,Client Services
Robert,Male,11-18-2014,5:00 AM,85799,19.93,FALSE,Finance
Mark,Male,1-22-2007,2:37 PM,75150,12.182,TRUE,Legal
Earl,Male,01-05-2000,5:46 PM,91344,4.035,TRUE,Sales
Richard,Male,9-27-2005,1:41 AM,86326,10.717,FALSE,Product
Michael,Male,11-22-1991,12:57 PM,98753,16.443,TRUE,Human Resources
Steven,Male,05-12-2009,2:14 PM,113060,2.846,TRUE,Sales
Carlos,Male,9-19-2007,1:01 AM,77327,11.58,TRUE,Finance
Marie,Female,10-20-2011,10:09 PM,62666,10.247,FALSE,Product
Ronald,Male,2-24-2009,2:09 PM,96633,4.99,TRUE,Engineering
Scott,Male,05-12-2009,4:36 AM,58248,3.914,FALSE,Business Development
Steven,Male,11-21-2006,8:30 AM,83706,6.96,TRUE,Human Resources
James,Male,11-22-1998,3:48 AM,74086,5.778,TRUE,Human Resources
Lori,Female,3-31-1988,10:59 PM,95389,14.223,FALSE,Sales
Philip,Male,08-02-1989,11:21 AM,129968,19.897,FALSE,Finance
Phyllis,Female,11-24-2005,11:57 PM,140347,8.723,FALSE,Sales
Thomas,,8-31-1995,8:31 PM,41549,3.95,FALSE,Sales
Cynthia,Female,12-03-2012,11:03 PM,74287,10.751,FALSE,Sales
,Male,10-09-2011,9:29 AM,69906,4.844,,Engineering
,Male,4-22-1997,9:36 PM,65078,3.095,,Marketing
Elizabeth,Female,11-10-2005,4:56 AM,106406,1.782,TRUE,Legal
Andrea,Female,9-14-2003,10:30 PM,115913,12.121,FALSE,Legal
Judy,Female,02-01-1990,3:32 PM,38092,5.668,FALSE,Distribution
Russell,Male,8-13-2014,3:51 PM,121160,7.843,FALSE,Engineering
Scott,Male,12-17-2011,3:45 AM,90429,4.45,FALSE,Product
Sarah,Female,5-22-1994,7:06 AM,64207,7.824,TRUE,Client Services
Susan,Female,9-25-2004,1:30 AM,80688,18.892,TRUE,Sales
Margaret,Female,05-05-2014,6:01 AM,55044,4.078,FALSE,Sales
Joshua,Male,11-09-2009,6:32 AM,72893,9.555,FALSE,Distribution
Justin,,4-15-2005,8:43 PM,96978,13.865,FALSE,Finance
Juan,Male,4-16-2002,11:09 PM,97364,3.595,FALSE,Product
Gloria,,7-19-1983,1:57 AM,140885,1.113,FALSE,Human Resources
Jennifer,,1-24-1989,8:38 PM,58520,16.231,TRUE,Client Services
Edward,Male,08-04-1989,6:06 AM,66067,10.957,TRUE,
Marilyn,Female,12-17-1982,12:10 PM,147183,8.748,FALSE,Business Development
Mary,Female,10-18-2009,6:32 PM,87721,12.484,FALSE,Product
Linda,Female,7-15-2009,10:12 PM,144001,2.194,FALSE,Business Development
Larry,Male,8-27-2003,1:00 PM,91133,5.14,FALSE,Sales
Albert,Male,02-01-1997,4:20 PM,67827,19.717,TRUE,Engineering
Kenneth,Male,4-13-1999,10:28 PM,81839,12.072,FALSE,Sales
,Female,12-31-2006,11:02 PM,81444,3.171,,Distribution
